ID_פריט,name,pgrp
738,שישיית גרביונים בצבע לבן 70 דנייר מידה 12-14,6
740,אטריות,2
741,פתיתים אפויים,2
742,טבעות זיתים ירוקים - שימורים,2
756,גרנולה שקדים ואגוזים - מיה,2
757,"גריסי פנינה בוואקום ",2
764,חומוס בשימורים - פרי מבורך,2
771,אורז בסמטי בוואקום 1 קילו,2
772,פיתה עגולה,9
773,"קרטון פרגית עוף קפוא בד""צ בית חלקיה",10
784,זוג ציציות מוכנות לילדים מידה 2,6
785,שישיית פחיות משקה אנרגיה מוגז - BLU,2
805,שישיית גרביונים בצבע לבן 70 דנייר מידה 6-8,6
806,שישיית גרביונים בצבע לבן 70 דנייר מידה 4-6,6
821,שקדי מרק,2
831,סיילין - תמיסה לשבת,6
838,נשנושים שמנת בצל - בייגל בייגל {מ. לאחר הפסח},2
839,מגירון פלסטיק 4 קומות - XL,21
840,"קרש גיהוץ איכותי 122*38 ס""מ",22
843,גביעי גלידה 24 יחי - עלמה,2
859,נרתיק וואקום ללולב,25
862,בייבי שף תפוח אדמה קטן לאפייה (זני גורמה) (אריזה ב,14
874,שקיות מזון 250 יח - קרטונית,2
875,שקיות הקפאה 250 יח - קרטונית,2
877,טונה במים רביעיה - קייטי,2
882,"קרטון כנפיים עוף קפוא בד""צ בית חלקיה (מ.מ.)",10
888," תפוח אדמה אדום 5 קילו",14
893,חלב 1 ליטר קרטונית - קייטי,8
895,מאגדת מעדן וניל - טרה,8
896,קוטג' 250 גר' - טרה,8
897,גביע יוגורט Bio קרמי מולר,8
899,רביעיית שמנת חמוצה טרה,8
905,גבינה צהובה 500 גר' - נעם (אריזת וואקום) (מ.מ),8
907,תמיסה לעדשות דיספו,6
911,בריכה לפעוטות - מתנפחת,21
912,משאבת אופניים גדולה,21
918,צידנית מתקפלת עם ידיות מתכת,21
921,מברשת שיער מלבנית איכותית,21
926,כדורי פלא צום,27
927,שקית פרוסות דג סלמון מעושן קפוא,10
928,"קרטון פילה דג נסיכת הנילוס קפוא עד""ח - קייטי",10
938,ספרי הגנה באריזה מוגדלת - סאן קייר,21
944,קלסר טבעות גדול A4,21
948,מרכך כביסה מרוכז,2
952,שמפו פינוק - כחול,2
954,רולדה גפילטע פיש 0.5 קילו,10
956,מארז פנקסים קטנים גודל 1,22
957,"מאגדת חטיפים תן צאפ מיה {8 יחידות} ",2
961,כוסות חד פעמי רגיל 75 יח - דלוקס/יהלום,2
962,מגבת פנים איכותית,21
970,אתרוג תימני מהודר אא משנת יוסף (סידורי 6),27
973,יין קליל - יקבי ציון,2
989,"טונה בשמן רביעייה ",2
994,"קרטון סטייק אנטריקוט פרוס קפוא בד""צ בית חלקיה",10
995,קרטון מנות פילה סלמון נורווגי עם עור,11
996,"קרטון סטייק טונה בהירה בד""ץ העד""ח - קייטי",11
1002,אטבי כביסה איכותיים,21
1008,קאלק 00 ניקוי אסלות - סנו {מ.מ.},2
1010,ראש כרוב אדום גדול {לנדא} {שקית},15
1011,ראש כרוב לבן גדול {לנדא} {שקית},15
1013,מברשת לניקוי בקבוקים (דמוי אוונט),21
1017,בקבוקים לתינוק שישייה -Tulips,21
1019,דלורית קטנה (s),14
1026,שעועית בוואקום 1 קילו,2
1035,גליליות ממולאות קרם אגוזים - עלמה,2
1036,חומוס בוואקום 900 גרם,2
1037,"צבעי פסטל ג'יוטו ",21
1040,סוכרזית ביסקול,2
1045,גזר,14
1048,משקפת ים איכותית בקופסא - לנוער,21
1049,מפיות אלגנט 20 יח דוגמאות שונות,2
1050,"אבוב ים שחור 90 ס""מ (מ.מ.)",21
1052,"חיוב עבור החזקת התחנה ב ",0
1054,"קרקר דק עם דגנים מלאים ""כפרי"" - fitness",2
1061,נייר טואלט 16 גלילים כפולים {סגול תכלת},2
1062,נייר סופג גלילים כפולים,2
1066,אגס,1
1067,"לחם פרוס מחיטה מלאה - דגנית עין בר ",1
1070,שלוקים נשברים לשתים,2
1074,שזיף,15
1075,מלפפון 1 קילו,14
1078,דלי חול עגול,21
1079,מנעול לאופניים מספרים,22
1084,צמרוני אזניים עץ 500 יח - קופסת פלסטיק,21
1093,קינואה בוואקום 500 גרם - מיה,2
1103,"תבנית סיליקון מיני מגנום 8 שקעים ",21
1104,תפוח עץ סמיט (ירוק) {פלסטיק אדום},1
1113,מפצל 3 שקעים,21
1133,"תחליב רחצה הוואי {סדרה מחודשת} ",2
1134,קרטון ממתק גליליות וופל בציפוי שוקולד חלב עם מילוי,8
1135,סנו קל - רסס וכבס,2
1144,רוטב צ'ילי מתוק,2
1147,"שלישייה נורות לד 12W ",21
1149,חטיף תירס אפוי פאף פיקנטי {12 יח},2
1156,רסס נגב - סנו,2
1160,"ביסקוויט חיות 1.5 ק""ג קרטון לבן ארוך",2
1171,מלפפון חמוץ במלח 18-25 בני דרום,2
1174,חיוב עבור החזקת התחנה א,0
1180,עגבניות שרי אדומות,1
1182,רביעיית סוגרי בטיחות לארון שתי דלתות,21
1185,"קולבים לחצאית ",21
1188,"אצבעות פלסטלינה ",21
1203,חמאת בטנים טבעית 1 קילו -  B&D,2
1205,נפוליטנים מריר 150 גר' (שחור) - גרוס,8
1230,כסא פלסטיק לבן,22
1236,מלחיית קפיץ המקורית - תוצרת איטליה,22
1269,שעון שבת מכאני - 24 שעות,21
1284,מלקחיים - מתכת,21
1290,גוף תאורה תלוי בעיצוב יוקרתי - דגם cleo זהב,21
1294,וילון אמבטיה יוקרתי 1.8*1.8,21
1307,פלטת שבת גדולה 4 סירים,21
1313,מרגרינה - פוליבה,8
1314,"שוקו בבקבוק 250 מ""ל טרה",8
1340,סלט חומוס לבנוני - צבר,8
1345,וופלים,2
1353,גלגל ים מותגים ילדות (הלו קיטי/מיני מאוס),22
1355,עט פיילוט 0.4 שחור יחידה !!!,22
1357,סט 5 עטי פיילוט 0.4,22
1358,עט פיילוט מחיק 0.4 כחול יחידה !!!,22
1371,מארז 9 מחברות חשבון (40 דף),21
1376,בלוק ציור (240 גר'),22
1387,קלמר 2 תאים - בנות,21
1399,מדבקות שם דגם ארטיקים,23
1401,גליל ניילון שקוף לעטיפת ספרים - עבה במיוחד,21
1402,סט 12 לורדים ג'יוטו,21
1404,שלישיית דבק סטיק קטן - U,21
1405,עט טיפקס - UNI,22
1408,מחדד עם מיכל - אייזן,22
1410,מארז 20 עטיפות ניילון למחברת A5 שקוף - עבה במיוחד,21
1412,סט הדגשה 4 צבעים - איכותי,21
1415,צבעי שמן - אומגה,21
1416,וופלים מצופים 40 יח,8
1418,מספריים קטנות יחידה!!!,22
1423,גלשן לילדים לים ולבריכה,21
1431,בורקס קפוא תפוא,11
1442,דופן איכותית לסוכה,25
1447,ארגז כלי עבודה מפלסטיק,21
1448,"אירגונית לברגים שקופה פלסטיק ",21
1449,סט מברגי שען,21
1451,סולם 5 שלבים - אלומניום,22
1454,"סט 7 מברגים איכותיים בגדלים שונים ",21
1456,קטר,21
1457,פלייר פטנט ידיות גומי,21
1458,פלייר,21
1459,מד מטר (מטר/רולטקה),21
1460,פטיש טפסן,21
1461,אקדח דבק חם,21
1463,אזיקון 3.5*350,21
1464,אזיקון 4.8*500,21
1465,מיטה מתקפלת דקורטיבית,23
1466,שולחן מתקפל פלסטיק,23
1467,ספסל מתקפל,23
1469,גוף תאורה לד - מוגן מים,22
1470,כבל מאריך 3 מטר,21
1471,כבל מאריך 5 מטר,21
1474,מפצל 6 שקעים + כבל ומפסק,21
1478,"אבקת וניש קליה לבן גדול 1.5 ק""ג - אריזה מוגדלת",2
1481,קערות עגולות שקופות,2
1490,"קרטון מושט (פילה אמנון) עם עור עד""ח - קייטי",10
1491,מלאוח - שחף,11
1500,איגלו - פופס קידס,2
1501,מקלוני חוט דנטלי,21
1502,ממרח טונה - רביעייה (צהוב),2
1504,ניילון נצמד 150 מטר,2
1533,עוגיות ש. ציפס - גלילית,2
1535,"מעטפות ארוכות ",21
1536,מעטפות קצרות,21
1543,"קרטון עוף שלם קפוא בד""צ בית חלקיה",10
1546,"קרטון מושט (פילה אמנון) עם פס עור עד""ח - קייטי",11
1547,סלט חומוס 850 גרם צבר,8
1551,"סחוג אדום - My VILLAGE {בד""ץ בית חלקיה}",8
1558,שניצל תירס - זוגלובק,11
1563,מאגדת מיני מרשמלו מצופה לקלוקים,2
1575,נייר חתוך לשבת 800 (4 במארז),2
1578,סלסלה חסה קריספית (לאליק) {לנדא},15
1596,מכשיר טוסטר להכנת וופל בלגי - לימו,21
1611,נורת לד עגולה צמודת תקרה מסגרת לבנה - 24W,21
1632,שוקולד צ'יפס (נטיפי שוקולד מריר) - אופנהיימר,8
1634,פיתות מקמח כוסמין,9
1635,דלעת קטנה (יפנית),1
1638,חטיף תן צ'אפ מיה,2
1644,טבליות למדיח כלים פיניש אול אין וואן 72 יח',2
1649,"מידנית לבקבוק ",21
1650,"חטיף מקלוני תירס (20 יחידות) ",2
1653,דגני בוקר שוקו וניל xl אריזה מוגדלת,2
1654,מאוורר 3 ב-1,21
1655,תירס שימורים 340 גרם - קייטי,2
1676,מדבקות שם דגם בובה פרחים,22
1681,תיק גן בנות - מותגים,21
1682,דפי ממו צבעוניים,21
1694,מספריים איכותיות לגזירת בד - קנגרו,21
1697,מאוורר רצפתי 14 אינצ',21
1701,בימבה ג'וק,22
1708,מיקרוגל מכני 20 ליטר - לימו,21
1721,"כיסוי אוניברסלי לקרש גיהוץ ",21
1729,"חוט טבעי - העד""ח",21
1731,כסא ילדים איכותי,23
1752,מרשמלו 100 גר' - כרמית,8
1753,כעכים אפויים בקופסא,2
1766,בייגלה שטוחלה - מאיר בייגל,2
1771,מארז 9 כוסיות לנרות - עם רגל,21
1775,תבנית אינגליש קייק 20 יח r88,2
1821,חמוציות ללא סוכר,2
1822,"גבינת שמנת שום שמיר 25% - הכפרייה	",8
1830,דובוני ג'לי ויטמין C - אריזת חיסכון {1},2
1834,עדשות מגע חודשיות מס' -1.75,6
1835,עדשות מגע חודשיות מס' -2,6
1836,עדשות מגע חודשיות מס' -2.25,6
1839,עדשות מגע חודשיות מס' -3,6
1840,עדשות מגע חודשיות מס' -3.25,6
1841,עדשות מגע חודשיות מס' -3.5,6
1842,עדשות מגע חודשיות מס' -3.75,6
1843,עדשות מגע חודשיות מס' -4,6
1844,עדשות מגע חודשיות מס' -4.25,6
1845,עדשות מגע חודשיות מס' -4.5,6
1847,עדשות מגע חודשיות מס' -5,6
1849,עדשות מגע חודשיות מס' -5.5,6
1851,עדשות מגע חודשיות מס' -6,6
1858,גופיות V חצי שרוול מידה S - שלישייה,6
1859,גופיות V חצי שרוול מידה M - שלישייה,6
1860,גופיות V חצי שרוול מידה L - שלישייה,6
1861,גופיות V חצי שרוול מידה XL - שלישייה,6
1864,"זוג קוצצי ציפורניים ",21
1922,לבנים צבעוניות ילדות שמינייה מידה 2-4,6
1923,לבנים צבעוניות ילדות שמינייה מידה 4-6,6
1924,לבנים צבעוניות ילדות שמינייה מידה 6-8,6
1925,לבנים צבעוניות ילדות שמינייה מידה 8-10,6
1926,לבנים צבעוניות ילדות שמינייה מידה 10-12,6
1927,לבנים צבעוניות ילדות שמינייה מידה 12-14,6
1928,גופיות ילדים כתפיות - מידה 4 שלישייה,6
1929,גופיות ילדים כתפיות - מידה 6 שלישייה,6
1930,גופיות ילדים כתפיות - מידה 8 שלישייה,6
1931,גופיות ילדים כתפיות - מידה 14 שלישייה,6
1932,גופיות ילדים כתפיות - מידה 16 שלישייה,6
1933,גופיות ילדים כתפיות - מידה 10 שלישייה,6
1934,גופיות ילדים כתפיות - מידה 12 שלישייה,6
1935,גופיית ילדות כתפיות מידה 6 - שלישייה,6
1936,גופיית ילדות כתפיות מידה 8 - שלישייה,6
1937,גופיית ילדות כתפיות מידה 4 - שלישייה,6
1938,גופיית ילדות כתפיות מידה 10 - שלישייה,6
1939,גופיית ילדות כתפיות מידה 12 - שלישייה,6
1940,גופיית ילדות כתפיות מידה 14 - שלישייה,6
1941,גופיית ילדות כתפיות מידה 16 - שלישייה,6
1948,"פתיל דק - בד""ץ העד""ח",6
1949,"פתיל עבה - בד""ץ העד""ח",6
1950,זוג ציציות מוכנות לילדים מידה 4,6
1951,זוג ציציות מוכנות לילדים מידה 5,6
1952,זוג ציציות מוכנות לילדים מידה 6,6
1953,זוג ציציות מוכנות לילדים מידה 3,6
1985,ארון שירות פלסטיק גדול - כתר,21
1990,מסקינטייפ (דבק נייר),21
1996,שישיית גרביונים בצבע לבן 70 דנייר מידה 14-16,6
2003,מיקס כדורי דגנים מצופים שוקולד חלב - כרמית אדום,8
2007,דבק מהיר - עשירייה,21
2016,תיק טיולים 3 תאים,23
2030,שישיית ירכוני נשים 40 דנייר מלון - colanta,6
2065,עט נצנצים מארז שישיה,21
2074,גופיית ילדות כתפיות מידה 2 - שלישייה,6
2075,גופיות ילדים כתפיות - מידה 2 שלישייה,6
2077,גופיות גברים כתפיות מידה S - שלישייה,6
2078,גופיות גברים כתפיות מידה M - שלישייה,6
2079,גופיות גברים כתפיות מידה L - שלישייה,6
2080,גופיות גברים כתפיות מידה XL- שלישייה,6
2081,גופיות גברים כתפיות מידה XXL - שלישייה,6
2083,דלי קליי,21
2090,ציצית מוכנה לגברים מידה 9,6
2091,לבנים צבעוניות ילדות שמינייה מידה 14-16,6
2096,שולחן עץ מתקפל,23
2100," משחק סחרחורת  - מבית לחיים",23
2109,הדסים כשרים לברכה (מספר סידורי 4) (ללא מגש),26
2112,אתרוג תימני מהודר א משנת יוסף (סידורי 7),27
2125,וופל קראנצ' בטעם שוקולד,2
2150,טחינה משומשום מלא - אחווה,2
2154,"קרטון ירכיים עוף קפוא בד""צ בית חלקיה",10
2155,"קרטון עוף מחולק (מפורק) קפוא בד""צ בית חלקיה",10
2156,"קרטון שניצל קפוא בד""צ בית חלקיה",10
2277,מארז 3 ספרוני לימינציה מסדרת אלי לומד - חגים,21
2280,גליליות ממולאות קרם שוקולד (חום),2
2372,משאבה ניפוח ידנית לבריכות וגלגלי ים,21
2374,קפיץ מתכת לסתימות,21
2380,שישיית גרביונים לנשים 40 דנייר מלון - colanta -מיד,6
2381,שישיית גרביונים לנשים 40 דנייר מלון - colanta -מיד,6
2382,שישיית גרביונים לנשים 40 דנייר מלון - colanta -מיד,6
2383,שישיית גרביונים לנשים 40 דנייר מלון - colanta -מיד,6
2384,זוג גופיות ציצית לילדים - מידה 2,6
2385,זוג גופיות ציצית לילדים - מידה 4,6
2396,חליפת טריקו מעבר לילדות - מידה 2,6
2397,חליפת טריקו מעבר לילדות - מידה 4,6
2398,חליפת טריקו מעבר לילדות - מידה 6,6
2399,חליפת טריקו מעבר לילדות - מידה 8,6
2423,רביעייה ביסלי גריל אסם,2
2426,פיצרלה מגורדת - יבנה,8
2427,סטיביה - בוטיק {24},4
2431,כותונת קייצית לילדות - מידה 4,6
2450,כותונת קייצית לילדות - מידה 6,6
2451,כותונת קייצית לילדות - מידה 8,6
2452,כותונת קייצית לילדות - מידה 10,6
2453,כותונת קייצית לילדות - מידה 12,6
2454,כותונת קייצית לילדות - מידה 14,6
2458,מיני דקליות אחווה,2
2460,זוג גופיות ציצית לילדים - מידה 6,6
2469,רשת הצללה עם לולאות (4*3),21
2486,"מלון יחידה!!! ",1
2488,תיק נסיעות ארוך מבד,21
2489,"תיק אוכל צד - שחור ",21
2565,גופיות V חצי שרוול מידה XXL - שלישייה,6
5003,"שעון יד קסיו ",22
5007,גליל נייר לעטיפת ספרים דגם קיץ מתוק,21
5016,חליפת טריקו מעבר לילדים - מידה 2,6
5017,חליפת טריקו מעבר לילדים - מידה 4,6
5018,חליפת טריקו מעבר לילדים - מידה 6,6
5019,חליפת טריקו מעבר לילדים - מידה 8,6
5020,זוג גופיות ציצית לילדים - מידה 8,6
5021,מיני מגירון 3 קומות,21
5024,גרילנדה עם תקע,21
5025,שטיח דשא סינטטי לסוכה 2*4 מטר,22
5026,שטיח דשא סינטטי לסוכה  2*3 מטר,22
5027,מזרן ספוג - יחיד,25
5028,פלייר שפיץ,21
5032,לפתנית אלגנט שקופה - אריזה מוגדלת,2
5036,טבעות בצל מצופות קפואות - קייטי (ריבוע חום),10
5045,אתרוג מרוקאי עם פיטם מהודר אא משנת יוסף (מס' סידור,27
5047,חמישיית בקבוקוני הפלא - לשמירת ההדסים והערבות,25
5120,"ספאטון בטעם תפוח בד""ץ העד""ח {2}",2
5136,עוגיות חצי ירח - תירוש,8
5141,שישיית גרביונים לילדות 48 דנייר מלון - מידה 6-8,6
5142,שישיית גרביונים לילדות 48 דנייר מלון - מידה 8-10,6
5143,שישיית גרביונים לילדות 48 דנייר מלון - מידה 10-12,6
5144,שישיית גרביונים לילדות 48 דנייר מלון - מידה 12-14,6
5145,שישיית גרביונים לילדות 48 דנייר מלון - מידה 4-6,6
5149,זוג חולצות בסיס לבנות - מידה 6,6
5150,זוג חולצות בסיס לבנות - מידה 8,6
5151,זוג חולצות בסיס לבנות - מידה 10,6
5152,זוג חולצות בסיס לבנות - מידה 12,6
5153,זוג חולצות בסיס לבנות - מידה 14,6
5172,עט טיפקס - סיבורס,22
5180,רביעיית לבן - טרה,8
5185,זוג לורדים דקים - זהב וכסף,21
5189,גבינה 5% - טרה,8
5204,קרטונית נרות מילוי - 4 שעות,8
5233,משחק מגנטים בקופסא + רכב,21
5300,תמיסה לעדשות יוניקה,6
5306,עדשות מגע חודשיות מס ' -7.5,6
5310,זוג חולצות בסיס לבנות - מידה 18,6
