ID_מכירה,week,name
147597,"מטות מסעי תשפ""ה",רבנו אשר בני ברק
147617,"מטות מסעי תשפ""ה",הפלמח ירוחם
147621,"מטות מסעי תשפ""ה",מבוא מרגלית ביתר עילית
147625,"מטות מסעי תשפ""ה",נלסון גליק ירושליים
147657,"דברים תשפ""ה",אבני נזר מודיעין עילית
147658,"דברים תשפ""ה",יהודה הנשיא מודיעין עי
147659,"דברים תשפ""ה",רבי עקיבא מודיעין עילי
147662,"דברים תשפ""ה",מרומי שדה מודיעין עילי
147663,"דברים תשפ""ה",נאות הפיסגה מודיעין עי
147664,"דברים תשפ""ה",נהר הירדן בית שמש
147665,"דברים תשפ""ה",כולל ברסלב בני ברק
147672,"דברים תשפ""ה",זנגוויל ירושליים
147675,"דברים תשפ""ה",גור חיפה
147678,"דברים תשפ""ה",אולסוונגר ירושליים
147684,"דברים תשפ""ה",נפש החיים אשדוד
147685,"דברים תשפ""ה",בית שמואל אשדוד
147689,"דברים תשפ""ה",הרים לוין אשדוד
147690,"דברים תשפ""ה",החרובים רכסים
147692,"דברים תשפ""ה",קרלין מודיעין עילית
147694,"דברים תשפ""ה",גרין פארק מודיעין עילי
147696,"דברים תשפ""ה",סנהדריה המורחבת ירושלי
147703,"דברים תשפ""ה",טלזסטון
147710,"דברים תשפ""ה",בית וגן ירושליים
147713,"דברים תשפ""ה",חזון דוד מודיעין עילית
147716,"דברים תשפ""ה",לב שמחה בית שמש
147722,"דברים תשפ""ה",הפסגה ירושליים
147728,"דברים תשפ""ה",גני יצהר- אלעד
147732,"דברים תשפ""ה",מבוא די זהב ירושליים
147733,"דברים תשפ""ה",פרל בני ברק
147735,"דברים תשפ""ה",בן זכאי בני ברק
147740,"דברים תשפ""ה",עפולה גבעת המורה
147741,"דברים תשפ""ה",נווה יעקב-ירושלים
147744,"דברים תשפ""ה",שיכון ו בני ברק
147751,"דברים תשפ""ה",שער המלך מודיעין עילית
147752,"דברים תשפ""ה",גבעת שאול - ירושליים
147754,"דברים תשפ""ה",רמת שלמה - ירושליים
147765,"דברים תשפ""ה",ירוחם
147766,"דברים תשפ""ה",הר יונה נוף הגליל
147767,"דברים תשפ""ה",טבנקין נווה יעקב ירושל
147770,"דברים תשפ""ה",משכנות יעקב ירושליים
147771,"דברים תשפ""ה",הרב הירש בני ברק
147772,"דברים תשפ""ה",החלוצים בני ברק
147781,"דברים תשפ""ה",החצב רכסים
147786,"דברים תשפ""ה",מינץ ירושליים
147791,"דברים תשפ""ה",זכרון אברהם ירושליים
147793,"דברים תשפ""ה",חיל האוויר פסגת זאב
147795,"דברים תשפ""ה",גולאק נווה יעקב ירושלי
147805,"דברים תשפ""ה",נג'ארה ירושליים
147814,"דברים תשפ""ה",גבעת זאב
147816,"דברים תשפ""ה",הרב חיות נווה יעקב ירו
147827,"דברים תשפ""ה",מעלה הזיתים ירושליים
147828,"דברים תשפ""ה",דובר שלום נוף הגליל
147833,"דברים תשפ""ה",עמנואל
147834,"דברים תשפ""ה",דימונה
147840,"דברים תשפ""ה",גשר החיים ירושליים
147843,"דברים תשפ""ה",נוה צבי ירושליים
147846,"דברים תשפ""ה",שפינוזה עפולה
147851,"דברים תשפ""ה",שערי חסד ירושליים
147852,"דברים תשפ""ה",נווה אברהם חיפה
147862,"דברים תשפ""ה",עטרת משה בני ברק
147877,"דברים תשפ""ה",תכלת מרדכי בית שמש
147882,"דברים תשפ""ה",אורליאן בני ברק
147887,"דברים תשפ""ה",ריש לקיש בית שמש
147888,"דברים תשפ""ה",משה רבנו אחיסמך
147896,"דברים תשפ""ה",אלחריזי בית ד' בני ברק
147899,"דברים תשפ""ה",רבבה
147900,"דברים תשפ""ה",שערי תשובה מודיעין עיל
147901,"דברים תשפ""ה",ירמיהו בית שמש
147906,"דברים תשפ""ה",נהרדעא בית שמש
147908,"דברים תשפ""ה",נרקיסים - נוף הגליל
147922,"דברים תשפ""ה",הגבעה הצרפתית ירושליים
147927,"דברים תשפ""ה",עליית הנוער עפולה
147929,"דברים תשפ""ה",הרב פניז'ל נווה יעקב י
147935,"דברים תשפ""ה",בן עוזיאל אלעד
147946,"דברים תשפ""ה",הוילה  בני ברק
147952,"דברים תשפ""ה",אור הגנוז
147954,"דברים תשפ""ה",ישמח ישראל ביתר עילית
147956,"דברים תשפ""ה",הספרייה ירושליים
147959,"דברים תשפ""ה",חלקיה בר טובי בית שמש
147964,"דברים תשפ""ה",הפלמח ירוחם
147973,"דברים תשפ""ה",נלסון גליק ירושליים
147974,"דברים תשפ""ה","אבא שאול ביתר עילית "
148010,"ואתחנן תשפ""ה",מרומי שדה מודיעין עילי
148016,"ואתחנן תשפ""ה",מסילת יוסף מודיעין עיל
148019,"ואתחנן תשפ""ה",שטרן ירושליים
148023,"ואתחנן תשפ""ה",גור חיפה
148024,"ואתחנן תשפ""ה",בית תפילה מודיעין עילי
148025,"ואתחנן תשפ""ה",ישעיהו בני ברק
148026,"ואתחנן תשפ""ה",אולסוונגר ירושליים
148033,"ואתחנן תשפ""ה",בית שמואל אשדוד
148034,"ואתחנן תשפ""ה",בית חלקיה
148037,"ואתחנן תשפ""ה",הרים לוין אשדוד
148043,"ואתחנן תשפ""ה",הצבעוני אשדוד
148044,"ואתחנן תשפ""ה",סנהדריה המורחבת ירושלי
148045,"ואתחנן תשפ""ה",חזון איש זכרון יעקב
148047,"ואתחנן תשפ""ה",חפץ חיים זכרון יעקב
148048,"ואתחנן תשפ""ה","חידושי הרי""ם בני ברק"
148051,"ואתחנן תשפ""ה",טלזסטון
148052,"ואתחנן תשפ""ה",בני הישיבות בני ברק
148053,"ואתחנן תשפ""ה",נחל שורק בית שמש
148054,"ואתחנן תשפ""ה",יהלום אופקים
148057,"ואתחנן תשפ""ה",ינאי אשדוד
148058,"ואתחנן תשפ""ה",בית וגן ירושליים
148061,"ואתחנן תשפ""ה",חזון דוד מודיעין עילית
148063,"ואתחנן תשפ""ה",קרית צאנז נתניה
148067,"ואתחנן תשפ""ה","הרב בנדר ביתר עילית "
148070,"ואתחנן תשפ""ה",הפסגה ירושליים
148071,"ואתחנן תשפ""ה",בר אילן בית שמש
148077,"ואתחנן תשפ""ה",מבצע חורב אשדוד
148078,"ואתחנן תשפ""ה",בית ספר טללים - ערד
148079,"ואתחנן תשפ""ה",ויקטור ויוליוס נווה יע
148084,"ואתחנן תשפ""ה",אהרונוסון בני ברק
148086,"ואתחנן תשפ""ה",גבעה A ביתר
148087,"ואתחנן תשפ""ה",רמות פולין- ירושליים
148088,"ואתחנן תשפ""ה",עפולה גבעת המורה
148089,"ואתחנן תשפ""ה",נווה יעקב-ירושלים
148090,"ואתחנן תשפ""ה",ענתות גבעת זאב
148092,"ואתחנן תשפ""ה",שיכון ו בני ברק
148094,"ואתחנן תשפ""ה",בתי אבות בני ברק
148096,"ואתחנן תשפ""ה",רבי יהשוע בית שמש
148097,"ואתחנן תשפ""ה",שמואל הנביא ירושליים
148101,"ואתחנן תשפ""ה",עובדי מחסן
148109,"ואתחנן תשפ""ה",פרדס כץ בני ברק
148111,"ואתחנן תשפ""ה",אלנקווה אופקים
148115,"ואתחנן תשפ""ה",טבנקין נווה יעקב ירושל
148117,"ואתחנן תשפ""ה",מנין אברכים בני ברק
148126,"ואתחנן תשפ""ה","מהרי""ל מודיעין עילית"
148131,"ואתחנן תשפ""ה",יונה בן אמיתי בית שמש
148134,"ואתחנן תשפ""ה",מינץ ירושליים
148139,"ואתחנן תשפ""ה",זכרון אברהם ירושליים
148143,"ואתחנן תשפ""ה",גולאק נווה יעקב ירושלי
148145,"ואתחנן תשפ""ה",נחלת שלמה נתיבות
148148,"ואתחנן תשפ""ה",חטיבת הנגב אשדוד
148149,"ואתחנן תשפ""ה",ברכת משה חיפה
148151,"ואתחנן תשפ""ה","הרי""ף אופקים"
148152,"ואתחנן תשפ""ה",הר חומה ירושליים
148153,"ואתחנן תשפ""ה",נג'ארה ירושליים
148155,"ואתחנן תשפ""ה",חבל שלום
148158,"ואתחנן תשפ""ה",גילה ירושליים
148164,"ואתחנן תשפ""ה",הרב חיות נווה יעקב ירו
148167,"ואתחנן תשפ""ה",מישאל מזרחי פסגת זאב
148172,"ואתחנן תשפ""ה",אמרי בינה ירושליים
148173,"ואתחנן תשפ""ה","רלב""ג בני ברק"
148174,"ואתחנן תשפ""ה",נוף כנרת טבריה
148175,"ואתחנן תשפ""ה",מעלה הזיתים ירושליים
148177,"ואתחנן תשפ""ה",בתי הורנשטיין ירושליים
148179,"ואתחנן תשפ""ה",רבנו תם בני ברק
148182,"ואתחנן תשפ""ה",דימונה
148186,"ואתחנן תשפ""ה",כרם אברהם ירושליים
148188,"ואתחנן תשפ""ה",גשר החיים ירושליים
148190,"ואתחנן תשפ""ה",גבעת מרדכי ירושליים
148196,"ואתחנן תשפ""ה",שבטי ישראל אחיסמך
148212,"ואתחנן תשפ""ה",קהילות יעקב מודיעין עי
148214,"ואתחנן תשפ""ה",רפפורט ירושליים
148219,"ואתחנן תשפ""ה",בר יקר נווה יעקב
148227,"ואתחנן תשפ""ה",בית שאן
148229,"ואתחנן תשפ""ה",רבי טרפון מודיעין עילי
148230,"ואתחנן תשפ""ה",אורליאן בני ברק
148231,"ואתחנן תשפ""ה",סולם יעקב ירושליים
148233,"ואתחנן תשפ""ה",נאות שמחה מודיעין עילי
148234,"ואתחנן תשפ""ה",בן קיסמא בית שמש
